C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_56_368.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_56_368.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_56_368.jpg,0,0,0,8.051432E-06
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_56_434.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_56_434.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_56_434.jpg,0,0,0,6.463659E-06
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_56_552.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_56_552.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_56_552.jpg,0,0,0,1.839214E-05
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_56_680.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_56_680.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_56_680.jpg,0,0,0,1.839809E-06
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_56_822.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_56_822.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_56_822.jpg,0,0,0,1.211042E-05
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_56_927.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_56_927.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_56_927.jpg,0,0.1920933,0,0.1025668
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_051.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_051.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_051.jpg,0,0.5624112,0,0.7836457
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_171.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_171.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_171.jpg,0,0.9291633,0,2.001182
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_291.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_291.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_291.jpg,0,1,0,3.664458
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_415.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_415.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_415.jpg,0,1,0,5.067692
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_484.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_484.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_484.jpg,0,1,0,5.762273
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_602.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_602.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_602.jpg,0,0.8110213,0,7.014632
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_724.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_724.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_724.jpg,0,0.4438732,0,7.722745
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_850.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_850.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_850.jpg,-0.2,0.06745155,0,7.88193
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_57_972.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_57_972.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_57_972.jpg,-0.5000001,0,0,7.737013
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_103.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_103.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_103.jpg,-0.8000001,0,0,7.548197
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_218.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_218.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_218.jpg,-1,0,0,7.336984
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_348.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_348.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_348.jpg,0,0,0,7.080412
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_465.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_465.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_465.jpg,0,0,0,6.991791
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_532.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_532.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_532.jpg,0,0,0,6.935551
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_652.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_652.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_652.jpg,0,0,0,6.852026
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_774.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_774.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_774.jpg,0,0.1720083,0,6.884826
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_58_903.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_58_903.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_58_903.jpg,0,0.5618244,0,7.447587
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_020.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_020.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_020.jpg,0,0.9109527,0,8.520872
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_089.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_089.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_089.jpg,0,1,0,9.412395
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_206.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_206.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_206.jpg,-0.1,1,0,10.52317
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_331.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_331.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_331.jpg,-0.45,0.819385,0,11.94573
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_455.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_455.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_455.jpg,-0.7500002,0.4515988,0,12.36813
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_603.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_603.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_603.jpg,0,0.06093818,0,12.34001
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_704.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_704.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_704.jpg,0,0,0,12.15487
C:\Users\HP\Documents\IMG\center_2021_01_29_18_03_59_825.jpg,C:\Users\HP\Documents\IMG\left_2021_01_29_18_03_59_825.jpg,C:\Users\HP\Documents\IMG\right_2021_01_29_18_03_59_825.jpg,0,0,0,12.15323
